Heat_ID,Furnace_ID,Grade_Code,C_Current,C_Min,C_Max,C_Absorption_Rate,C_Cost_Per_Kg,C_Target_Min,C_Target_Max,C_Target_Config,C_Element_Config,C_Final_Cost,Si_Current,Si_Min,Si_Max,Si_Absorption_Rate,Si_Cost_Per_Kg,Si_Target_Min,Si_Target_Max,Si_Target_Config,Si_Element_Config,Si_Final_Cost,Mn_Current,Mn_Min,Mn_Max,Mn_Absorption_Rate,Mn_Cost_Per_Kg,Mn_Target_Min,Mn_Target_Max,Mn_Target_Config,Mn_Element_Config,Mn_Final_Cost,P_Current,P_Min,P_Max,P_Absorption_Rate,P_Cost_Per_Kg,P_Target_Min,P_Target_Max,P_Target_Config,P_Element_Config,P_Final_Cost,S_Current,S_Min,S_Max,S_Absorption_Rate,S_Cost_Per_Kg,S_Target_Min,S_Target_Max,S_Target_Config,S_Element_Config,S_Final_Cost,Cu_Current,Cu_Min,Cu_Max,Cu_Absorption_Rate,Cu_Cost_Per_Kg,Cu_Target_Min,Cu_Target_Max,Cu_Target_Config,Cu_Element_Config,Cu_Final_Cost,Mg_Current,Mg_Min,Mg_Max,Mg_Absorption_Rate,Mg_Cost_Per_Kg,Mg_Target_Min,Mg_Target_Max,Mg_Target_Config,Mg_Element_Config,Mg_Final_Cost
H001,F01,EN1563,3.21,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,6.3333,950.0,2.489,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,3.9176,470.11,0.319,0.15,0.4,75,400,0.15,0.4,0.275,1.76,704.0,0.038,0.0,0.08,60,300,0.0,0.08,0.04,0.1,30.0,0.003,0.0,0.015,70,250,0.0,0.015,0.0075,0.1929,48.22,0.209,0.2,0.5,80,700,0.2,0.5,0.35,5.2875,3701.25,0.05,0.03,0.07,95,2800,0.03,0.07,0.05,0.0,0.0
H002,F02,EN1563,3.28,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,4.0,600.0,2.618,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,0.6353,76.24,0.297,0.15,0.4,75,400,0.15,0.4,0.275,0.88,352.0,0.036,0.0,0.08,60,300,0.0,0.08,0.04,0.2,60.0,0.002,0.0,0.015,70,250,0.0,0.015,0.0075,0.2357,58.92,0.51,0.2,0.5,80,700,0.2,0.5,0.35,6.0,4200.0,0.068,0.03,0.07,95,2800,0.03,0.07,0.05,0.5684,1591.52
H003,F03,EN1563,3.237,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,5.4333,815.0,2.739,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,4.9059,588.71,0.352,0.15,0.4,75,400,0.15,0.4,0.275,3.08,1232.0,0.035,0.0,0.08,60,300,0.0,0.08,0.04,0.25,75.0,0.005,0.0,0.015,70,250,0.0,0.015,0.0075,0.1071,26.77,0.183,0.2,0.5,80,700,0.2,0.5,0.35,6.2625,4383.75,0.073,0.03,0.07,95,2800,0.03,0.07,0.05,0.7263,2033.64
H004,F04,EN1563,3.482,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,2.7333,410.0,2.491,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,3.8471,461.65,0.17,0.15,0.4,75,400,0.15,0.4,0.275,4.2,1680.0,0.025,0.0,0.08,60,300,0.0,0.08,0.04,0.75,225.0,0.003,0.0,0.015,70,250,0.0,0.015,0.0075,0.1929,48.22,0.391,0.2,0.5,80,700,0.2,0.5,0.35,1.5375,1076.25,0.045,0.03,0.07,95,2800,0.03,0.07,0.05,0.1579,442.12
H005,F05,EN1563,3.307,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,3.1,465.0,2.824,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,7.9059,948.71,0.332,0.15,0.4,75,400,0.15,0.4,0.275,2.28,912.0,0.023,0.0,0.08,60,300,0.0,0.08,0.04,0.85,255.0,0.004,0.0,0.015,70,250,0.0,0.015,0.0075,0.15,37.5,0.517,0.2,0.5,80,700,0.2,0.5,0.35,6.2625,4383.75,0.064,0.03,0.07,95,2800,0.03,0.07,0.05,0.4421,1237.88
H006,F01,EN1563,3.292,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,3.6,540.0,2.526,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,2.6118,313.42,0.203,0.15,0.4,75,400,0.15,0.4,0.275,2.88,1152.0,0.039,0.0,0.08,60,300,0.0,0.08,0.04,0.05,15.0,0.007,0.0,0.015,70,250,0.0,0.015,0.0075,0.0214,5.35,0.397,0.2,0.5,80,700,0.2,0.5,0.35,1.7625,1233.75,0.067,0.03,0.07,95,2800,0.03,0.07,0.05,0.5368,1503.04
H007,F02,EN1563,3.306,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,3.1333,470.0,2.625,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,0.8824,105.89,0.296,0.15,0.4,75,400,0.15,0.4,0.275,0.84,336.0,0.038,0.0,0.08,60,300,0.0,0.08,0.04,0.1,30.0,0.004,0.0,0.015,70,250,0.0,0.015,0.0075,0.15,37.5,0.499,0.2,0.5,80,700,0.2,0.5,0.35,5.5875,3911.25,0.034,0.03,0.07,95,2800,0.03,0.07,0.05,0.5053,1414.84
H008,F03,EN1563,3.244,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,5.2,780.0,2.717,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,4.1294,495.53,0.166,0.15,0.4,75,400,0.15,0.4,0.275,4.36,1744.0,0.028,0.0,0.08,60,300,0.0,0.08,0.04,0.6,180.0,0.008,0.0,0.015,70,250,0.0,0.015,0.0075,0.0214,5.35,0.491,0.2,0.5,80,700,0.2,0.5,0.35,5.2875,3701.25,0.027,0.03,0.07,95,2800,0.03,0.07,0.05,0.7263,2033.64
H009,F04,EN1563,3.415,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,0.5,75.0,2.656,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,1.9765,237.18,0.259,0.15,0.4,75,400,0.15,0.4,0.275,0.64,256.0,0.029,0.0,0.08,60,300,0.0,0.08,0.04,0.55,165.0,0.008,0.0,0.015,70,250,0.0,0.015,0.0075,0.0214,5.35,0.185,0.2,0.5,80,700,0.2,0.5,0.35,6.1875,4331.25,0.067,0.03,0.07,95,2800,0.03,0.07,0.05,0.5368,1503.04
H010,F05,EN1563,3.174,3.2,3.6,90,150,3.2,3.6,3.4000000000000004,7.5333,1129.99,2.461,2.4,2.8,85,120,2.4,2.8,2.5999999999999996,4.9059,588.71,0.285,0.15,0.4,75,400,0.15,0.4,0.275,0.4,160.0,0.036,0.0,0.08,60,300,0.0,0.08,0.04,0.2,60.0,0.005,0.0,0.015,70,250,0.0,0.015,0.0075,0.1071,26.77,0.297,0.2,0.5,80,700,0.2,0.5,0.35,1.9875,1391.25,0.067,0.03,0.07,95,2800,0.03,0.07,0.05,0.5368,1503.04
