iter	Passed	Remaining
0	60	60568
1	110	55192
2	178	59367
3	247	61629
4	292	58154
5	345	57199
6	385	54644
7	446	55383
8	490	53959
9	526	52127
10	564	50732
11	610	50249
12	654	49675
13	695	48963
14	735	48285
15	779	47929
16	849	49112
17	897	48942
18	939	48504
19	980	48029
20	1050	48981
21	1102	49004
22	1161	49326
23	1220	49620
24	1265	49349
25	1327	49726
26	1384	49905
27	1427	49553
28	1466	49089
29	1509	48808
30	1552	48526
31	1609	48700
32	1661	48686
33	1704	48422
34	1751	48283
35	1799	48181
36	1845	48034
37	1909	48341
38	1961	48323
39	2003	48090
40	2052	48012
41	2125	48491
42	2191	48768
43	2243	48743
44	2300	48812
45	2354	48838
46	2411	48892
47	2452	48649
48	2491	48347
49	2531	48101
50	2575	47923
51	2633	48009
52	2675	47808
53	2713	47542
54	2753	47302
55	2793	47096
56	2840	46993
57	2884	46852
58	2928	46714
59	2996	46938
60	3040	46798
61	3077	46559
62	3140	46714
63	3206	46892
64	3267	46995
65	3335	47206
66	3389	47205
67	3442	47177
68	3499	47223
69	3559	47287
70	3614	47287
71	3656	47125
72	3697	46947
73	3739	46797
74	3777	46591
75	3830	46573
76	3881	46532
77	3930	46459
78	3973	46320
79	4042	46494
80	4089	46399
81	4126	46191
82	4165	46022
83	4207	45879
84	4245	45704
85	4299	45690
86	4366	45818
87	4423	45839
88	4464	45694
89	4522	45725
90	4581	45760
91	4661	46008
92	4721	46044
93	4792	46189
94	4862	46319
95	4907	46210
96	4953	46111
97	5014	46156
98	5054	46005
99	5120	46084
100	5175	46066
101	5244	46176
102	5297	46135
103	5357	46155
104	5403	46059
105	5445	45928
106	5495	45862
107	5522	45609
108	5564	45484
109	5602	45333
110	5643	45202
111	5690	45117
112	5741	45071
113	5782	44940
114	5822	44804
115	5869	44731
116	5919	44675
117	5958	44534
118	6008	44481
119	6060	44446
120	6121	44469
121	6189	44544
122	6241	44503
123	6284	44399
124	6326	44282
125	6368	44172
126	6420	44135
127	6476	44124
128	6526	44067
129	6571	43976
130	6620	43919
131	6669	43858
132	6710	43745
133	6755	43656
134	6803	43592
135	6844	43485
136	6893	43422
137	6937	43335
138	6982	43250
139	7028	43175
140	7086	43174
141	7137	43126
142	7181	43037
143	7243	43055
144	7301	43055
145	7341	42945
146	7383	42845
147	7432	42784
148	7471	42671
149	7516	42595
150	7560	42510
151	7618	42505
152	7670	42461
153	7732	42478
154	7778	42402
155	7834	42388
156	7900	42422
157	7943	42331
158	7988	42251
159	8038	42203
160	8100	42213
161	8143	42125
162	8189	42051
163	8236	41986
164	8299	42002
165	8346	41933
166	8402	41909
167	8458	41889
168	8505	41823
169	8568	41832
170	8623	41805
